0: d0, <-2($73), ->1($17)
22733: d499, <-19684($96), ->19683($79)
22734: d499, <-3008($6), ->3007($48)
22735: d631, <-4886($68), ->4885($19)
22736: d631, <-1354($54), ->1353($63)
22737: d342, <-15304($51), ->15303($94)
22738: d342, <-23830($74), ->23829($31)
22739: d638, <-21328($82), ->21327($37)
22740: d638, <-17106($46), ->17105($6)
22741: d173, <-4598($41), ->4597($21)
22742: d173, <-24048($51), ->24047($95)
22743: d594, <-19050($14), ->19049($96)
22744: d594, <-8422($76), ->8421($47)
22745: d353, <-22150($43), ->22149($65)
22746: d353, <-13106($21), ->13105($51)
22747: d522, <-23308($75), ->23307($6)
22748: d522, <-13618($11), ->13617($21)
22749: d282, <-22826($41), ->22825($22)
22750: d282, <-21132($51), ->21131($10)
22751: d664, <-19550($82), ->19549($45)
22752: d664, <-23094($99), ->23093($20)
22753: d664, <-23094($99), ->23093($20)
22754: d664, <-10140($29), ->10139($27)
22755: d794, <-2124($89), ->2123($36)
22756: d794, <-19970($69), ->19969($80)
22757: d272, <-23096($93), ->23095($83)
22758: d272, <-17276($30), ->17275($96)
22759: d677, <-310($90), ->309($27)
22760: d677, <-8806($52), ->8805($43)
22761: d549, <-6332($25), ->6331($68)
22762: d549, <-22168($8), ->22167($5)
22763: d739, <-8680($24), ->8679($98)
22764: d739, <-8242($50), ->8241($6)
22765: d104, <-20118($98), ->20117($8)
22766: d104, <-16238($30), ->16237($55)
22767: d507, <-4200($15), ->4199($60)
22768: d507, <-3642($89), ->3641($11)
22769: d784, <-4714($19), ->4713($43)
22770: d784, <-1678($74), ->1677($27)
22771: d114, <-7658($62), ->7657($90)
22772: d114, <-2526($5), ->2525($42)
22773: d493, <-7552($1), ->7551($91)
22774: d493, <-12876($73), ->12875($98)
22775: d670, <-23172($27), ->23171($61)
22776: d670, <-7986($65), ->7985($36)
22777: d774, <-23826($21), ->23825($41)
22778: d774, <-23628($99), ->23627($95)
22779: d283, <-5858($71), ->5857($97)
22780: d283, <-21496($11), ->21495($57)
22781: d467, <-11708($20), ->11707($79)
22782: d467, <-7202($5), ->7201($4)
22783: d457, <-1712($80), ->1711($70)
22784: d457, <-16086($27), ->16085($31)
22785: d298, <-11602($19), ->11601($94)
22786: d298, <-18072($47), ->18071($23)
22787: d71, <-23820($98), ->23819($67)
22788: d71, <-14920($41), ->14919($75)
22789: d344, <-14760($80), ->14759($26)
22790: d344, <-22464($36), ->22463($59)
22791: d164, <-3552($43), ->3551($14)
22792: d164, <-3096($58), ->3095($96)
22793: d635, <-19202($99), ->19201($40)
22794: d635, <-10004($95), ->10003($45)
22795: d678, <-18318($79), ->18317($58)
22796: d678, <-5792($38), ->5791($5)
22797: d731, <-7674($87), ->7673($16)
22798: d731, <-23464($36), ->23463($8)
22799: d335, <-9938($33), ->9937($86)
22800: d335, <-4916($70), ->4915($82)
22801: d586, <-7364($22), ->7363($34)
22802: d586, <-17500($97), ->17499($45)
22803: d646, <-6650($41), ->6649($79)
22804: d646, <-22186($80), ->22185($46)
22805: d338, <-4000($62), ->3999($26)
22806: d338, <-14842($90), ->14841($11)
22807: d738, <-18066($79), ->18065($39)
22808: d738, <-8512($9), ->8511($92)
22809: d404, <-12064($20), ->12063($88)
22810: d404, <-15360($45), ->15359($64)
22811: d191, <-10518($100), ->10517($98)
22812: d191, <-14292($32), ->14291($15)
22813: d102, <-14988($59), ->14987($53)
22814: d102, <-13656($66), ->13655($56)
22815: d448, <-16818($83), ->16817($97)
22816: d448, <-19598($53), ->19597($1)
22817: d536, <-20504($36), ->20503($8)
22818: d536, <-25430($45), ->25429($34)
22819: d621, <-19080($68), ->19079($99)
22820: d621, <-15270($57), ->15269($78)
22821: d243, <-18322($86), ->18321($23)
22822: d243, <-15628($20), ->15627($44)
22823: d669, <-2652($91), ->2651($58)
22824: d669, <-4970($73), ->4969($28)
22825: d283, <-23448($4), ->23447($64)
22826: d283, <-24654($29), ->24653($47)
22827: d168, <-12728($27), ->12727($1)
22828: d168, <-13128($89), ->13127($9)
22829: d134, <-11274($33), ->11273($91)
22830: d134, <-7068($46), ->7067($43)
22831: d611, <-5864($28), ->5863($26)
22832: d611, <-3234($20), ->3233($12)
22833: d390, <-20488($20), ->20487($17)
22834: d390, <-2202($10), ->2201($5)
22835: d586, <-15036($33), ->15035($83)
22836: d586, <-17500($97), ->17499($45)
22837: d283, <-19302($17), ->19301($76)
22838: d283, <-3884($19), ->3883($31)
22839: d718, <-16882($27), ->16881($14)
22840: d718, <-5340($37), ->5339($17)
22841: d570, <-21440($30), ->21439($45)
22842: d570, <-3686($41), ->3685($45)
22843: d615, <-7188($44), ->7187($14)
22844: d615, <-4878($21), ->4877($65)
22845: d612, <-20740($95), ->20739($14)
22846: d612, <-23592($2), ->23591($8)
22847: d14, <-16244($49), ->16243($8)
22848: d14, <-2726($54), ->2725($35)
22849: d183, <-1466($71), ->1465($21)
22850: d183, <-8738($46), ->8737($83)
22851: d381, <-12056($52), ->12055($41)
22852: d381, <-12628($3), ->12627($24)
22853: d521, <-570($97), ->569($52)
22854: d521, <-9868($64), ->9867($99)
22855: d80, <-2240($13), ->2239($15)
22856: d80, <-8156($10), ->8155($42)
22857: d425, <-25218($81), ->25217($4)
22858: d425, <-8948($79), ->8947($44)
22859: d650, <-22628($8), ->22627($52)
22860: d650, <-12232($64), ->12231($20)
22861: d264, <-14426($25), ->14425($88)
22862: d264, <-3084($52), ->3083($47)
22863: d410, <-7320($31), ->7319($57)
22864: d410, <-4526($59), ->4525($86)
22865: d394, <-14390($84), ->14389($4)
22866: d394, <-14238($61), ->14237($100)
22867: d770, <-21384($66), ->21383($11)
22868: d770, <-24910($23), ->24909($90)
22869: d737, <-12186($73), ->12185($93)
22870: d737, <-20662($89), ->20661($65)
22871: d117, <-21454($97), ->21453($37)
22872: d117, <-25324($91), ->25323($9)
22873: d249, <-6012($10), ->6011($86)
22874: d249, <-5660($43), ->5659($95)
22875: d301, <-23124($93), ->23123($54)
22876: d301, <-24116($98), ->24115($27)
22877: d102, <-11470($1), ->11469($37)
22878: d102, <-15192($86), ->15191($17)
22879: d29, <-13960($38), ->13959($7)
22880: d29, <-9810($64), ->9809($33)
22881: d378, <-18314($49), ->18313($90)
22882: d378, <-23946($54), ->23945($18)
22883: d484, <-19588($78), ->19587($51)
22884: d484, <-356($65), ->355($35)
22885: d582, <-3852($45), ->3851($78)
22886: d582, <-8942($9), ->8941($22)
22887: d162, <-21858($72), ->21857($30)
22888: d162, <-18180($49), ->18179($21)
22889: d653, <-13548($40), ->13547($90)
22890: d653, <-1058($17), ->1057($84)
22891: d451, <-4316($44), ->4315($58)
22892: d451, <-7458($90), ->7457($5)
22893: d403, <-21052($82), ->21051($43)
22894: d403, <-24688($83), ->24687($67)
22895: d243, <-23728($90), ->23727($10)
22896: d243, <-8120($2), ->8119($96)
22897: d418, <-3890($51), ->3889($46)
22898: d418, <-8588($74), ->8587($72)
22899: d450, <-18248($78), ->18247($100)
22900: d450, <-23352($85), ->23351($6)
22901: d50, <-308($7), ->307($46)
22902: d50, <-9130($74), ->9129($46)
22903: d341, <-4640($45), ->4639($9)
22904: d341, <-23734($101), ->23733($14)
22905: d236, <-2800($87), ->2799($95)
22906: d236, <-2816($62), ->2815($83)
22907: d63, <-6620($17), ->6619($54)
22908: d63, <-12896($79), ->12895($55)
22909: d121, <-24050($61), ->24049($60)
22910: d121, <-20622($68), ->20621($78)
22911: d706, <-20890($80), ->20889($100)
22912: d706, <-19092($18), ->19091($20)
22913: d147, <-25304($16), ->25303($90)
22914: d147, <-2016($26), ->2015($1)
22915: d655, <-15658($27), ->15657($44)
22916: d655, <-24624($78), ->24623($80)
22917: d667, <-3576($30), ->3575($61)
22918: d667, <-20708($101), ->20707($17)
22919: d51, <-14262($36), ->14261($15)
22920: d51, <-5896($48), ->5895($23)
22921: d341, <-5260($71), ->5259($80)
22922: d341, <-21268($53), ->21267($46)
22923: d100, <-3690($11), ->3689($5)
22924: d100, <-4742($11), ->4741($59)
22925: d618, <-11320($84), ->11319($81)
22926: d618, <-214($76), ->213($71)
22927: d276, <-14852($26), ->14851($45)
22928: d276, <-21166($42), ->21165($88)
22929: d519, <-3848($27), ->3847($32)
22930: d519, <-11768($10), ->11767($82)
22931: d445, <-5024($33), ->5023($52)
22932: d445, <-4910($48), ->4909($57)
22933: d519, <-11768($10), ->11767($82)
22934: d519, <-25460($1), ->25459($3)
22935: d661, <-1480($94), ->1479($3)
22936: d661, <-12388($31), ->12387($37)
22937: d455, <-906($10), ->905($73)
22938: d455, <-8550($42), ->8549($5)
22939: d294, <-19342($39), ->19341($83)
22940: d294, <-24650($47), ->24649($57)
22941: d468, <-19898($33), ->19897($63)
22942: d468, <-17136($51), ->17135($74)
22943: d32, <-20386($73), ->20385($84)
22944: d32, <-22354($61), ->22353($53)
22945: d623, <-9326($14), ->9325($28)
22946: d623, <-13834($79), ->13833($46)
22947: d472, <-17192($72), ->17191($89)
22948: d472, <-8630($91), ->8629($75)
22949: d673, <-10544($44), ->10543($1)
22950: d673, <-23402($69), ->23401($10)
22951: d502, <-18250($25), ->18249($36)
22952: d502, <-12824($48), ->12823($85)
22953: d781, <-17024($5), ->17023($24)
22954: d781, <-17808($22), ->17807($30)
22955: d614, <-5698($89), ->5697($42)
22956: d614, <-4706($80), ->4705($53)
22957: d434, <-2104($80), ->2103($17)
22958: d434, <-13156($79), ->13155($38)
22959: d227, <-22350($86), ->22349($62)
22960: d227, <-3842($56), ->3841($27)
22961: d787, <-18192($47), ->18191($51)
22962: d787, <-7444($77), ->7443($4)
22963: d378, <-16382($87), ->16381($16)
22964: d378, <-18314($49), ->18313($90)
22965: d688, <-15956($75), ->15955($99)
22966: d688, <-17974($12), ->17973($15)
22967: d755, <-8026($1), ->8025($98)
22968: d755, <-1638($92), ->1637($24)
22969: d670, <-7344($96), ->7343($63)
22970: d670, <-8238($91), ->8237($74)
22971: d756, <-3292($48), ->3291($24)
22972: d756, <-14880($6), ->14879($38)
22973: d790, <-13862($79), ->13861($70)
22974: d790, <-15920($23), ->15919($60)
22975: d639, <-68($46), ->67($26)
22976: d639, <-23306($65), ->23305($76)
22977: d529, <-19964($45), ->19963($12)
22978: d529, <-8554($36), ->8553($34)
22979: d350, <-21744($93), ->21743($86)
22980: d350, <-18220($2), ->18219($95)
22981: d444, <-6630($83), ->6629($42)
22982: d444, <-4308($96), ->4307($39)
22983: d448, <-9154($18), ->9153($37)
22984: d448, <-16818($83), ->16817($97)
22985: d199, <-4086($30), ->4085($5)
22986: d199, <-16030($45), ->16029($14)
22987: d260, <-10756($16), ->10755($62)
22988: d260, <-6348($46), ->6347($30)
22989: d323, <-18598($27), ->18597($43)
22990: d323, <-3702($40), ->3701($100)
22991: d626, <-2178($7), ->2177($79)
22992: d626, <-21330($25), ->21329($66)
22993: d241, <-9528($29), ->9527($39)
22994: d241, <-16600($18), ->16599($96)
22995: d732, <-7212($34), ->7211($25)
22996: d732, <-13962($92), ->13961($28)
22997: d460, <-9522($82), ->9521($17)
22998: d460, <-7814($91), ->7813($8)
22999: d437, <-660($8), ->659($93)
23000: d437, <-8294($39), ->8293($51)
23001: d564, <-2624($72), ->2623($43)
23002: d564, <-11890($76), ->11889($4)
23003: d406, <-17142($53), ->17141($32)
23004: d406, <-17914($27), ->17913($47)
23005: d742, <-14582($93), ->14581($32)
23006: d742, <-7050($29), ->7049($51)
23007: d414, <-9084($17), ->9083($4)
23008: d414, <-1928($64), ->1927($88)
23009: d118, <-10278($32), ->10277($97)
23010: d118, <-1694($89), ->1693($33)
23011: d771, <-6964($37), ->6963($93)
23012: d771, <-5178($17), ->5177($70)
23013: d439, <-15636($19), ->15635($79)
23014: d439, <-21844($73), ->21843($26)
23015: d107, <-9736($90), ->9735($17)
23016: d107, <-17730($100), ->17729($83)
23017: d550, <-15538($80), ->15537($5)
23018: d550, <-456($72), ->455($55)
23019: d165, <-17928($8), ->17927($41)
23020: d165, <-2942($30), ->2941($67)
23021: d192, <-24586($8), ->24585($75)
23022: d192, <-19568($79), ->19567($18)
23023: d140, <-14214($75), ->14213($49)
23024: d140, <-21342($50), ->21341($77)
23025: d584, <-18040($63), ->18039($90)
23026: d584, <-3984($59), ->3983($63)
23027: d723, <-12880($15), ->12879($20)
23028: d723, <-21968($39), ->21967($45)
23029: d466, <-19516($47), ->19515($51)
23030: d466, <-20312($22), ->20311($3)
23031: d367, <-3422($5), ->3421($82)
23032: d367, <-5854($3), ->5853($21)
23033: d503, <-18098($46), ->18097($73)
23034: d503, <-20422($15), ->20421($60)
23035: d266, <-7048($97), ->7047($70)
23036: d266, <-21292($26), ->21291($69)
23037: d412, <-6044($75), ->6043($21)
23038: d412, <-6010($51), ->6009($71)
23039: d84, <-23534($9), ->23533($97)
23040: d84, <-5720($15), ->5719($72)
23041: d324, <-15548($25), ->15547($55)
23042: d324, <-2356($96), ->2355($26)
23043: d339, <-2286($71), ->2285($16)
23044: d339, <-12546($22), ->12545($48)
23045: d414, <-9956($38), ->9955($55)
23046: d414, <-21202($71), ->21201($89)
23047: d494, <-670($42), ->669($6)
23048: d494, <-19690($78), ->19689($93)
23049: d629, <-19474($59), ->19473($66)
23050: d629, <-11558($28), ->11557($96)
23051: d465, <-10954($1), ->10953($52)
23052: d465, <-23030($66), ->23029($71)
23053: d660, <-21634($16), ->21633($36)
23054: d660, <-24516($79), ->24515($41)
23055: d34, <-1974($70), ->1973($63)
23056: d34, <-6992($25), ->6991($82)
23057: d124, <-14806($10), ->14805($27)
23058: d124, <-2018($35), ->2017($46)
23059: d176, <-856($4), ->855($25)
23060: d176, <-21452($17), ->21451($40)
23061: d138, <-12578($18), ->12577($89)
23062: d138, <-13312($84), ->13311($2)
23063: d68, <-10150($56), ->10149($84)
23064: d68, <-9914($94), ->9913($83)
23065: d66, <-14574($23), ->14573($93)
23066: d66, <-16582($55), ->16581($81)
23067: d734, <-9412($10), ->9411($83)
23068: d734, <-11696($89), ->11695($93)
23069: d644, <-4922($81), ->4921($6)
23070: d644, <-11118($18), ->11117($21)
23071: d306, <-20070($20), ->20069($34)
23072: d306, <-10338($51), ->10337($4)
23073: d287, <-486($23), ->485($3)
23074: d287, <-19518($18), ->19517($74)
23075: d747, <-12614($100), ->12613($20)
23076: d747, <-7426($85), ->7425($23)
23077: d106, <-21210($49), ->21209($97)
23078: d106, <-19784($5), ->19783($30)
23079: d479, <-18606($38), ->18605($24)
23080: d479, <-4934($47), ->4933($21)
23081: d277, <-62($31), ->61($58)
23082: d277, <-8068($23), ->8067($78)
23083: d305, <-11322($50), ->11321($24)
23084: d305, <-23072($35), ->23071($28)
23085: d114, <-7658($62), ->7657($90)
23086: d114, <-20314($71), ->20313($100)
23087: d355, <-11410($53), ->11409($40)
23088: d355, <-3400($65), ->3399($17)
23089: d675, <-126($76), ->125($35)
23090: d675, <-4638($53), ->4637($70)
23091: d798, <-9464($19), ->9463($38)
23092: d798, <-15996($14), ->15995($51)
23093: d665, <-20614($76), ->20613($62)
23094: d665, <-24774($52), ->24773($55)
23095: d273, <-7692($31), ->7691($23)
23096: d273, <-19704($55), ->19703($53)
23097: d213, <-11162($86), ->11161($65)
23098: d213, <-18634($55), ->18633($36)
23099: d589, <-1698($59), ->1697($69)
23100: d589, <-2722($31), ->2721($3)
23101: d222, <-10304($42), ->10303($14)
23102: d222, <-20446($19), ->20445($56)
23103: d540, <-23320($42), ->23319($94)
23104: d540, <-13136($29), ->13135($21)
23105: d588, <-8910($87), ->8909($31)
23106: d588, <-19908($95), ->19907($39)
23107: d338, <-18694($20), ->18693($46)
23108: d338, <-13564($30), ->13563($95)
23109: d21, <-2896($101), ->2895($69)
23110: d21, <-22306($32), ->22305($40)
23111: d693, <-25284($90), ->25283($68)
23112: d693, <-22320($81), ->22319($74)
23113: d176, <-10050($54), ->10049($96)
23114: d176, <-9374($1), ->9373($44)
23115: d343, <-25074($22), ->25073($69)
23116: d343, <-25276($72), ->25275($19)
23117: d420, <-8006($76), ->8005($85)
23118: d420, <-18696($64), ->18695($61)
23119: d122, <-8900($73), ->8899($97)
23120: d122, <-1596($55), ->1595($53)
23121: d742, <-8782($91), ->8781($73)
23122: d742, <-14582($93), ->14581($32)
23123: d302, <-4604($50), ->4603($5)
23124: d302, <-24580($36), ->24579($83)
23125: d691, <-21974($66), ->21973($39)
23126: d691, <-20904($99), ->20903($42)
23127: d89, <-8074($29), ->8073($65)
23128: d89, <-15542($24), ->15541($26)
23129: d134, <-12230($49), ->12229($64)
23130: d134, <-12740($101), ->12739($55)
23131: d394, <-14238($61), ->14237($100)
23132: d394, <-23924($57), ->23923($20)
23133: d654, <-7726($13), ->7725($65)
23134: d654, <-15158($30), ->15157($47)
23135: d267, <-9502($79), ->9501($25)
23136: d267, <-23806($50), ->23805($97)
23137: d785, <-16630($3), ->16629($14)
23138: d785, <-21848($40), ->21847($76)
23139: d176, <-21452($17), ->21451($40)
23140: d176, <-8084($29), ->8083($75)
23141: d75, <-23396($25), ->23395($83)
23142: d75, <-3118($77), ->3117($35)
23143: d713, <-15490($73), ->15489($61)
23144: d713, <-17436($4), ->17435($19)
23145: d198, <-6704($2), ->6703($98)
23146: d198, <-9042($54), ->9041($10)
23147: d151, <-13520($31), ->13519($88)
23148: d151, <-4992($33), ->4991($47)
23149: d224, <-5996($14), ->5995($99)
23150: d224, <-21666($23), ->21665($13)
23151: d209, <-6652($56), ->6651($9)
23152: d209, <-5770($13), ->5769($19)
23153: d148, <-18018($76), ->18017($94)
23154: d148, <-20414($30), ->20413($3)
23155: d197, <-5146($26), ->5145($16)
23156: d197, <-16738($47), ->16737($18)
23157: d17, <-19136($65), ->19135($38)
23158: d17, <-10078($4), ->10077($34)
23159: d519, <-21884($27), ->21883($85)
23160: d519, <-11768($10), ->11767($82)
23161: d46, <-21786($1), ->21785($80)
23162: d46, <-21124($73), ->21123($10)
23163: d713, <-5468($2), ->5467($19)
23164: d713, <-24082($91), ->24081($55)
23165: d798, <-19018($10), ->19017($22)
23166: d798, <-14492($98), ->14491($51)
23167: d740, <-19442($101), ->19441($5)
23168: d740, <-2318($38), ->2317($62)
23169: d148, <-24346($62), ->24345($97)
23170: d148, <-21152($19), ->21151($57)
23171: d671, <-17158($59), ->17157($84)
23172: d671, <-7326($88), ->7325($81)
23173: d19, <-3892($56), ->3891($89)
23174: d19, <-16822($14), ->16821($25)
23175: d766, <-19858($3), ->19857($59)
23176: d766, <-13552($36), ->13551($76)
23177: d791, <-5870($92), ->5869($99)
23178: d791, <-18172($87), ->18171($56)
23179: d772, <-25452($5), ->25451($55)
23180: d772, <-9366($87), ->9365($86)
23181: d524, <-19686($101), ->19685($55)
23182: d524, <-18610($56), ->18609($40)
23183: d240, <-14570($46), ->14569($84)
23184: d240, <-14050($60), ->14049($58)
23185: d559, <-13364($99), ->13363($76)
23186: d559, <-15820($25), ->15819($22)
23187: d524, <-4194($16), ->4193($70)
23188: d524, <-21590($92), ->21589($90)
23189: d644, <-10070($21), ->10069($61)
23190: d644, <-4748($80), ->4747($41)
23191: d357, <-23504($64), ->23503($15)
23192: d357, <-10448($79), ->10447($89)
23193: d119, <-11318($59), ->11317($4)
23194: d119, <-12054($74), ->12053($18)
23195: d9, <-17540($8), ->17539($17)
23196: d9, <-5784($95), ->5783($45)
23197: d614, <-18720($38), ->18719($93)
23198: d614, <-14436($23), ->14435($4)
23199: d304, <-11936($2), ->11935($45)
23200: d304, <-25478($70), ->25477($89)
23201: d466, <-24352($60), ->24351($56)
23202: d466, <-18708($18), ->18707($43)
23203: d635, <-9730($57), ->9729($73)
23204: d635, <-17326($28), ->17325($52)
23205: d243, <-11244($53), ->11243($52)
23206: d243, <-12292($33), ->12291($93)
23207: d759, <-3664($9), ->3663($35)
23208: d759, <-17332($70), ->17331($87)
23209: d574, <-7012($61), ->7011($25)
23210: d574, <-3478($11), ->3477($86)
23211: d271, <-20088($71), ->20087($25)
23212: d271, <-14900($43), ->14899($29)
23213: d597, <-18268($9), ->18267($13)
23214: d597, <-18292($11), ->18291($34)
23215: d324, <-2356($96), ->2355($26)
23216: d324, <-15546($69), ->15545($51)
23217: d737, <-10076($20), ->10075($38)
23218: d737, <-13376($75), ->13375($90)
23219: d221, <-13342($57), ->13341($83)
23220: d221, <-21354($100), ->21353($93)
23221: d233, <-7624($98), ->7623($86)
23222: d233, <-12662($43), ->12661($73)
23223: d363, <-16972($49), ->16971($54)
23224: d363, <-6370($43), ->6369($96)
23225: d110, <-12088($67), ->12087($83)
23226: d110, <-2906($58), ->2905($87)
23227: d792, <-2042($6), ->2041($96)
23228: d792, <-14560($25), ->14559($12)
23229: d160, <-10896($44), ->10895($25)
23230: d160, <-1432($96), ->1431($40)
23231: d608, <-9000($93), ->8999($48)
23232: d608, <-15126($38), ->15125($66)
23233: d729, <-8050($71), ->8049($44)
23234: d729, <-20436($22), ->20435($34)
23235: d119, <-9306($69), ->9305($11)
23236: d119, <-20888($64), ->20887($37)
23237: d179, <-9554($75), ->9553($41)
23238: d179, <-15008($46), ->15007($50)
23239: d50, <-12($94), ->11($9)
23240: d50, <-9146($91), ->9145($37)
23241: d752, <-12558($45), ->12557($11)
23242: d752, <-19490($3), ->19489($77)
23243: d290, <-5462($101), ->5461($76)
23244: d290, <-8600($72), ->8599($51)
23245: d677, <-7396($15), ->7395($64)
23246: d677, <-2646($11), ->2645($33)
23247: d84, <-6848($36), ->6847($93)
23248: d84, <-5720($15), ->5719($72)
23249: d248, <-5324($84), ->5323($29)
23250: d248, <-24056($83), ->24055($41)
23251: d589, <-24628($88), ->24627($37)
23252: d589, <-11140($10), ->11139($11)
23253: d265, <-2282($94), ->2281($58)
23254: d265, <-20044($4), ->20043($20)
23255: d113, <-18738($40), ->18737($37)
23256: d113, <-3382($43), ->3381($14)
23257: d359, <-13632($25), ->13631($39)
23258: d359, <-11446($79), ->11445($93)
23259: d312, <-8218($12), ->8217($84)
23260: d312, <-19940($49), ->19939($59)
23261: d669, <-6734($9), ->6733($12)
23262: d669, <-4970($73), ->4969($28)
23263: d505, <-2022($98), ->2021($56)
23264: d505, <-8082($92), ->8081($89)
23265: d612, <-13238($98), ->13237($60)
23266: d612, <-20740($95), ->20739($14)
23267: d481, <-15394($16), ->15393($31)
23268: d481, <-18758($36), ->18757($6)
23269: d387, <-19464($36), ->19463($61)
23270: d387, <-17860($46), ->17859($26)
23271: d39, <-20296($7), ->20295($21)
23272: d39, <-11198($72), ->11197($5)
23273: d110, <-6582($44), ->6581($63)
23274: d110, <-14984($57), ->14983($80)
23275: d46, <-1734($53), ->1733($42)
23276: d46, <-1762($45), ->1761($37)
23277: d56, <-17290($18), ->17289($59)
23278: d56, <-14722($61), ->14721($77)
23279: d319, <-17756($90), ->17755($13)
23280: d319, <-8802($93), ->8801($60)
23281: d564, <-6794($65), ->6793($56)
23282: d564, <-3626($35), ->3625($11)
23283: d38, <-9048($53), ->9047($37)
23284: d38, <-19604($16), ->19603($21)
23285: d781, <-6498($39), ->6497($8)
23286: d781, <-6458($82), ->6457($6)
23287: d135, <-12192($24), ->12191($36)
23288: d135, <-13896($70), ->13895($7)
23289: d528, <-22978($64), ->22977($57)
23290: d528, <-5288($44), ->5287($73)
23291: d99, <-22924($60), ->22923($47)
23292: d99, <-11706($79), ->11705($26)
23293: d678, <-12552($100), ->12551($71)
23294: d678, <-25500($97), ->25499($8)
23295: d751, <-2900($9), ->2899($96)
23296: d751, <-11018($89), ->11017($22)
23297: d513, <-23868($54), ->23867($51)
23298: d513, <-20272($75), ->20271($22)
23299: d175, <-23778($17), ->23777($27)
23300: d175, <-16316($87), ->16315($32)
23301: d484, <-13958($71), ->13957($14)
23302: d484, <-7536($53), ->7535($65)
23303: d610, <-10940($67), ->10939($72)
23304: d610, <-16456($21), ->16455($52)
23305: d640, <-20382($42), ->20381($70)
23306: d640, <-10456($78), ->10455($59)
23307: d523, <-13492($61), ->13491($9)
23308: d523, <-3160($25), ->3159($42)
23309: d446, <-5412($13), ->5411($69)
23310: d446, <-4050($75), ->4049($94)
23311: d175, <-4318($82), ->4317($66)
23312: d175, <-12198($26), ->12197($61)
23313: d488, <-7078($2), ->7077($4)
23314: d488, <-12076($11), ->12075($41)
23315: d533, <-3584($14), ->3583($56)
23316: d533, <-14610($83), ->14609($36)
23317: d345, <-21652($9), ->21651($29)
23318: d345, <-3186($20), ->3185($13)
23319: d541, <-17566($56), ->17565($58)
23320: d541, <-21466($79), ->21465($1)
23321: d661, <-16018($3), ->16017($47)
23322: d661, <-7714($21), ->7713($60)
23323: d356, <-22424($74), ->22423($26)
23324: d356, <-23192($49), ->23191($82)
23325: d113, <-12324($33), ->12323($14)
23326: d113, <-25468($31), ->25467($57)
23327: d595, <-21698($71), ->21697($12)
23328: d595, <-7428($4), ->7427($90)
23329: d109, <-23274($63), ->23273($31)
23330: d109, <-3318($92), ->3317($85)
23331: d352, <-20644($40), ->20643($33)
23332: d352, <-8786($17), ->8785($94)
23333: d314, <-25368($1), ->25367($99)
23334: d314, <-24500($66), ->24499($77)
23335: d151, <-5106($8), ->5105($98)
23336: d151, <-11000($63), ->10999($15)
23337: d362, <-15696($75), ->15695($92)
23338: d362, <-25044($96), ->25043($44)
23339: d454, <-21600($77), ->21599($88)
23340: d454, <-10460($13), ->10459($49)
23341: d585, <-8586($51), ->8585($14)
23342: d585, <-21920($49), ->21919($90)
23343: d108, <-23330($20), ->23329($97)
23344: d108, <-11654($49), ->11653($85)
23345: d723, <-2440($48), ->2439($92)
23346: d723, <-12880($15), ->12879($20)
23347: d510, <-17900($65), ->17899($72)
23348: d510, <-16478($40), ->16477($20)
23349: d99, <-11622($1), ->11621($7)
23350: d99, <-8058($64), ->8057($69)
23351: d451, <-24808($78), ->24807($20)
23352: d451, <-2820($17), ->2819($52)
23353: d352, <-15048($71), ->15047($94)
23354: d352, <-728($31), ->727($71)
23355: d243, <-23528($63), ->23527($43)
23356: d243, <-15388($80), ->15387($14)
23357: d531, <-9296($40), ->9295($81)
23358: d531, <-16918($78), ->16917($96)
23359: d620, <-8988($10), ->8987($74)
23360: d620, <-7226($44), ->7225($67)
23361: d105, <-25026($55), ->25025($83)
23362: d105, <-9886($85), ->9885($48)
23363: d517, <-11100($87), ->11099($21)
23364: d517, <-21646($89), ->21645($67)
23365: d137, <-24410($95), ->24409($24)
23366: d137, <-11378($29), ->11377($74)
23367: d570, <-12906($2), ->12905($66)
23368: d570, <-18510($72), ->18509($73)
23369: d147, <-10440($75), ->10439($61)
23370: d147, <-2378($10), ->2377($95)
23371: d405, <-4928($27), ->4927($66)
23372: d405, <-6046($54), ->6045($32)
23373: d332, <-24882($1), ->24881($42)
23374: d332, <-22546($15), ->22545($17)
23375: d179, <-11990($87), ->11989($59)
23376: d179, <-22246($21), ->22245($94)
23377: d48, <-572($96), ->571($71)
23378: d48, <-13680($51), ->13679($29)
23379: d492, <-16012($15), ->16011($35)
23380: d492, <-11518($46), ->11517($74)
23381: d179, <-10218($85), ->10217($73)
23382: d179, <-408($80), ->407($92)
23383: d327, <-2306($81), ->2305($95)
23384: d327, <-8946($69), ->8945($74)
23385: d724, <-11070($5), ->11069($95)
23386: d724, <-17810($35), ->17809($67)
23387: d375, <-4180($79), ->4179($68)
23388: d375, <-10326($35), ->10325($68)
23389: d649, <-798($81), ->797($43)
23390: d649, <-9380($56), ->9379($61)
23391: d765, <-8608($1), ->8607($39)
23392: d765, <-22332($75), ->22331($54)
23393: d674, <-23090($64), ->23089($36)
23394: d674, <-5692($84), ->5691($76)
23395: d76, <-24672($67), ->24671($13)
23396: d76, <-25084($64), ->25083($57)
23397: d586, <-7442($21), ->7441($57)
23398: d586, <-6190($98), ->6189($45)
23399: d291, <-9378($52), ->9377($87)
